Article number,Site Address
0,http://www.cnn.com/2016/02/17/health/financial-incentive-exercise-goals/index.html
1,http://www.cnn.com/2014/12/11/health/human-factor-hockey/index.html
2,http://www.cnn.com/2016/02/17/politics/donald-trump-ted-cruz-poll-supreme-court/index.html
3,http://www.cnn.com/2016/02/17/asia/turkey-ankara-explosion/index.html
4,http://www.cnn.com/2016/02/17/health/colorado-swedish-medical-center-possible-hepatitis-hiv-exposure/index.html
5,http://www.cnn.com/2016/02/15/entertainment/grammys-2016-feat/index.html
6,http://www.cnn.com/2016/01/19/architecture/new-nfl-stadium-los-angeles/index.html
7,http://money.cnn.com/2016/02/17/technology/apple-fbi-phone-unlock-edward-snowden/index.html
8,http://money.cnn.com/2015/10/28/technology/altwork-chair/index.html
9,http://money.cnn.com/2016/02/18/news/companies/toyota-recall-suvs-seat-belt/index.html
